time_sec	shot
42.069	1
63.423	2
71.265	3
80.606	4
94.955	5
95.413	6
110.014	7
120.147	8
128.868	9
136.999	10
171.66	11
190.425	12
195.263	13
198.018	14
206.067	15
213.032	16
222.624	17
236.217	18
255.489	19
268.088	20
278.679	21
283.521	22
288.483	23
299.659	24
311.797	25
316.217	26
319.181	27
321.474	28
325.352	29
350.668	30
356.343	31
360.555	32
374.401	33
380.323	34
384.786	35
388.372	36
391.42	37
396.964	38
398.8	39
400.304	40
401.177	41
402.098	42
403.015	43
404.892	44
409.394	45
412.522	46
415.734	47
418.862	48
421.071	49
428.663	50
431.166	51
433	52
434.671	53
436.048	54
437.671	55
441.262	56
443.594	57
447.39	58
451.352	59
454.44	60
457.316	61
460.319	62
466.159	63
467.663	64
470.12	65
471.247	66
485.388	67
489.017	68
500.444	69
502.197	70
504.116	71
507.578	72
509.118	73
510.33	74
513.302	75
514.665	76
522.426	77
525.093	78
526.845	79
529.884	80
533.81	81
536.147	82
539.189	83
541.86	84
544.403	85
547.155	86
548.825	87
552.456	88
553.912	89
556.29	90
570.012	91
575.395	92
576.563	93
578.732	94
583.027	95
584.902	96
586.57	97
587.99	98
595.624	99
599.669	100
607.342	101
610.428	102
612.388	103
615.851	104
618.147	105
642.836	106
645.174	107
647.422	108
649.845	109
661.772	110
674.117	111
685.381	112
701.271	113
701.687	114
702.144	115
702.939	116
710.443	117
715.536	118
717.91	119
725.045	120
727.253	121
753.824	122
763.166	123
766.668	124
768.46	125
771.006	126
772.342	127
780.389	128
782.769	129
785.854	130
790.236	131
796.115	132
798.035	133
800.288	134
803.788	135
809.795	136
811.006	137
812.392	138
814.882	139
815.883	140
816.802	141
818.218	142
819.68	143
820.976	144
822.222	145
823.643	146
825.725	147
828.022	148
841.659	149
846.33	150
848.418	151
850.42	152
853.047	153
854.716	154
859.135	155
870.232	156
872.981	157
877.363	158
879.946	159
882.032	160
887.415	161
890.625	162
892.003	163
893.46	164
895.42	165
910.981	166
919.54	167
932.585	168
934.002	169
935.879	170
937.087	171
946.266	172
966.575	173
972.042	174
974.253	175
976.088	176
978.088	177
979.675	178
985.515	179
995.357	180
998.567	181
1003.987	182
1005.822	183
1007.2	184
1009.163	185
1010.662	186
1012.332	187
1013.5	188
1014.455	189
1017.338	190
